Name,Security Type,Symbol,Issue Period,Issue Size No. of Shares,Price Band,Face Value,Market Lot
Antony Waste Handling Cell Ltd,Equity,ANTONY,21 Dec 2020 to 23 Dec 2020,"66,66,342",313.00-315.00,5,47
Mrs. Bectors Food Specialities Ltd,Equity,BECTORFOOD,15 Dec 2020 to 17 Dec 2020,"1,32,36,211",286.00-288.00,10,50
Burger King India Limited,Equity,BURGERKING,02 Dec 2020 to 04 Dec 2020,"7,44,91,524",59.00-60.00,10,250
Gland Pharma Ltd,Equity,GLAND,09 Nov 2020 to 11 Nov 2020,"3,02,37,879",1490.00-1500.00,1,10
Equitas Small Finance Bank Ltd,Equity,EQUITASSFB,20 Oct 2020 to 22 Oct 2020,"11,58,50,001",32.00-33.00,10,450
Likhitha Infrastructure Limited,Equity,LIKHITHA,29 Sep 2020 to 07 Oct 2020,"51,00,000",116.00-120.00,10,125
Mazagon Dock Shipbuilders Limited,Equity,MAZDOCK,29 Sep 2020 to 01 Oct 2020,"3,05,99,017",135.00-145.00,10,103
Uti Asset Management Company Ltd,Equity,UTIAMC,29 Sep 2020 to 01 Oct 2020,"2,73,50,957",552.00-554.00,10,27
Angel Broking Limited,Equity,ANGELBRKG,22 Sep 2020 to 24 Sep 2020,"1,37,70,491",305.00-306.00,10,49
Chemcon Speciality Chemicals Limited,Equity,CHEMCON,21 Sep 2020 to 23 Sep 2020,"65,59,173",338.00-340.00,10,44
Computer Age Management Services Limited,Equity,CAMS,21 Sep 2020 to 23 Sep 2020,"1,28,27,370",1229.00-1230.00,10,12
Route Mobile Limited,Equity,ROUTE,09 Sep 2020 to 11 Sep 2020,"1,21,73,912",345.00-350.00,10,40
Happiest Minds Technologies Limited,Equity,HAPPSTMNDS,07 Sep 2020 to 09 Sep 2020,"2,32,59,550",165.00-166.00,2,90
Yes Bank Ltd,Equity,YESBANK,15 Jul 2020 to 17 Jul 2020,"9,09,97,66,899",12.00-13.00,2,1000
Rossari Biotech Ltd,Equity,ROSSARI,13 Jul 2020 to 15 Jul 2020,"81,73,530",423.00-425.00,2,35
Antony Waste Handling Cell Limited,Equity,AWHCL,04 Mar 2020 to 16 Mar 2020,"48,24,544",294.00-300.00,5,50
Sbi Cards And Payment Services Limited,Equity,SBICARDS,02 Mar 2020 to 05 Mar 2020,"10,02,79,411",750.00-755.00,10,19
Iti Ltd,Equity,ITI,24 Jan 2020 to 05 Feb 2020,"18,18,00,000",71.00-77.00,10,150
Prince Pipe & Fittings Limited,Equity,PRINCEPIPE,18 Dec 2019 to 20 Dec 2019,"1,97,74,012",177.00-178.00,10,84
Ujjivan Small Finance Bank Ltd,Equity,UJJIVANSFB,02 Dec 2019 to 04 Dec 2019,"12,39,58,333",36.00-37.00,10,400
Csb Bank Limited,Equity,CSBBANK,22 Nov 2019 to 26 Nov 2019,"1,15,54,987",193.00-195.00,10,75
Gensol Engineering Limited,Equity,GENSOL,30 Sep 2019 to 04 Oct 2019,"21,60,000",81.00-83.00,10,1600
Goblin India Ltd,Equity,GOBLIN,30 Sep 2019 to 04 Oct 2019,"29,24,000",51.00-52.00,10,2000
Vishwaraj Sugar Industries Ltd,Equity,VISHWARAJ,30 Sep 2019 to 04 Oct 2019,"1,00,00,000",55.00-60.00,10,240
Indian Railway Catering And Tourism Corporation Limited,Equity,ITCTC,30 Sep 2019 to 03 Oct 2019,"2,01,60,000",315.00-320.00,10,40
Tutorials Point India Limited,Equity,TPIL,30 Sep 2019 to 03 Oct 2019,"31,40,000",60.00-64.00,10,2000
Sterling And Wilson Solar Limited,Equity,SWSL,06 Aug 2019 to 08 Aug 2019,"2,21,77,418",775.00-780.00,1,1
Spandana Sphoorty Financial Limited,Equity,SPANDANA,05 Aug 2019 to 07 Aug 2019,"98,22,367",853.00-856.00,10,17
Affle India Limited,Equity,AFFLE,29 Jul 2019 to 31 Jul 2019,"37,38,021",740.00-745.00,10,20
Indiamart Intermesh Ltd,Equity,INDIAMART,24 Jun 2019 to 26 Jun 2019,"26,92,824",970.00-973.00,10,15
Kpr Agrochem Ltd,Equity,KPRAGRO,26 Jun 2019 to 26 Jun 2019,"4,64,26,229",59.00-61.00,10,200
Suich Industries Ltd,Equity,SUICH,30 May 2019 to 04 Jun 2019,"41,15,200",73.00-75.00,10,1600
Cian Healthcare Limited,Equity,CHCL,02 May 2019 to 15 May 2019,"62,16,000",59.00-65.00,10,2000
Artemis Electricals Ltd,Equity,AEL,24 Apr 2019 to 06 May 2019,"70,00,000",54.00-60.00,10,2000
Neogen Chemicals Limited,Equity,NEOGEN,24 Apr 2019 to 26 Apr 2019,"43,29,038",212.00-215.00,10,65
Polycab India Limited,Equity,POLYCAB,05 Apr 2019 to 09 Apr 2019,"1,76,37,777",533.00-538.00,10,27
Metropolis Healthcare Limited,Equity,METROPOLIS,03 Apr 2019 to 05 Apr 2019,"76,61,802",877.00-880.00,2,1
Rail Vikas Nigam Limited,Equity,RVNL,29 Mar 2019 to 03 Apr 2019,"25,34,57,280",17.00-19.00,10,780
Mstc Limited,Equity,MSTC,13 Mar 2019 to 20 Mar 2019,"1,76,70,400",120.00-128.00,10,90
Chalet Hotels Limited,Equity,CHALET,29 Jan 2019 to 31 Jan 2019,"4,13,26,672",275.00-280.00,10,53
Ritco Logistics  Limited,Equity,RITCO,28 Jan 2019 to 30 Jan 2019,"66,00,000",71.00-73.00,10,1600
Xelpmoc Design And Tech Limited,Equity,XELPMOC,23 Jan 2019 to 25 Jan 2019,"21,41,496",62.00-66.00,10,200
Deccan Healthcare Limited,Equity,DECCAN,18 Dec 2018 to 20 Dec 2018,"42,12,000",95.00-100.00,10,1200
Dinesh Engineers Limited,Equity,DEPL,28 Sep 2018 to 03 Oct 2018,"1,00,00,000",183.00-185.00,10,80
Garden Reach Shipbuilders & Engineers Ltd,Equity,GRSE,24 Sep 2018 to 01 Oct 2018,"2,92,10,760",114.00-118.00,10,120
Aavas Financiers Ltd,Equity,AAVAS,25 Sep 2018 to 27 Sep 2018,"1,47,85,027",818.00-821.00,10,18
Innovative Ideals And Services (India) Limited,Equity,INNOVATIVE,24 Sep 2018 to 26 Sep 2018,"30,66,000",36.00-40.00,10,3000
Manorama Industries Ltd,Equity,MIL,21 Sep 2018 to 25 Sep 2018,"34,04,400",181.00-188.00,10,600
Ircon International Limited,Equity,IRCON,17 Sep 2018 to 19 Sep 2018,"99,05,157",470.00-475.00,10,30
Creditaccess Grameen Limited,Equity,CREDITACC,08 Aug 2018 to 10 Aug 2018,"1,88,29,684",418.00-422.00,10,35
Hdfc Asset Management Company Ltd,Equity,HDFCAMC,25 Jul 2018 to 27 Jul 2018,"1,88,04,290",1095.00-1100.00,5,13
Tcns Clothing Co.Ltd,Equity,TCNS,18 Jul 2018 to 20 Jul 2018,"1,09,99,828",714.00-716.00,2,20
Varroc Engineering Ltd,Equity,VARROC,26 Jun 2018 to 28 Jun 2018,"1,41,85,212",965.00-967.00,1,15
Fine Organic Industries Ltd,Equity,FINEORG,20 Jun 2018 to 22 Jun 2018,"53,65,497",780.00-783.00,5,19
Rites Limited,Equity,RITES,20 Jun 2018 to 22 Jun 2018,"2,52,00,000",180.00-185.00,10,80
Affordable Robotic & Automation Ltd,Equity,AFFORDABLE,24 May 2018 to 28 May 2018,"26,81,600",83.00-85.00,10,1600
Innovators Facade Systems Ltd,Equity,INNOVATORS,14 May 2018 to 16 May 2018,"37,63,200",71.00-72.00,10,1600
Indostar Capital Finance Limited,Equity,INDOSTAR,09 May 2018 to 11 May 2018,"2,25,75,438",570.00-572.00,10,26
Lemon Tree Hotels Ltd,Equity,LEMONTREE,26 Mar 2018 to 28 Mar 2018,"12,98,35,580",54.00-56.00,10,265
Icici Securities Ltd,Equity,ISEC,22 Mar 2018 to 26 Mar 2018,"4,42,25,343",519.00-520.00,5,28
Mishra Dhatu Nigam Ltd,Equity,MISHRA,21 Mar 2018 to 23 Mar 2018,"4,87,08,400",87.00-90.00,10,150
Benara Bearings And Pistons Limited,Equity,BBPL,20 Mar 2018 to 22 Mar 2018,"53,16,000",60.00-63.00,10,2000
Karda Constructions Ltd,Equity,KARDA,16 Mar 2018 to 21 Mar 2018,"43,00,000",175.00-180.00,10,80
Sandhar Technologies Ltd,Equity,SANDHAR,19 Mar 2018 to 21 Mar 2018,"1,08,72,661",327.00-332.00,10,45
Hindustan Aeronautics Ltd,Equity,HAL,16 Mar 2018 to 20 Mar 2018,"3,41,07,525",1215.00-1240.00,10,12
Bandhan Bank Limited,Equity,BANDHANBNK,15 Mar 2018 to 19 Mar 2018,"8,34,96,347",370.00-375.00,10,40
Bharat Dynamics Ltd,Equity,BDL,13 Mar 2018 to 15 Mar 2018,"2,24,51,953",413.00-428.00,10,35
H G Infra Engineering Limited,Equity,HGINFRA,26 Feb 2018 to 28 Feb 2018,"1,21,37,070",263.00-270.00,10,55
Aster Dm Healthcare Limited,Equity,ASTERDM,12 Feb 2018 to 15 Feb 2018,"3,73,70,415",180.00-190.00,10,78
Galaxy Surfactants Limited,Equity,GSL,29 Jan 2018 to 31 Jan 2018,"44,32,174",1470.00-1480.00,10,10
Amber Enterprises India Ltd,Equity,AMBER,17 Jan 2018 to 19 Jan 2018,"49,27,351",855.00-859.00,10,17
Newgen Software Technologies Limited,Equity,NEWGEN,16 Jan 2018 to 18 Jan 2018,"1,22,12,821",240.00-245.00,10,61
Apollo Micro Systems Ltd,Equity,APOLLO,10 Jan 2018 to 12 Jan 2018,"41,44,955",270.00-275.00,10,50
Astron Paper And Board Mill Limited,Equity,ASTRON,15 Dec 2017 to 20 Dec 2017,"1,40,00,000",45.00-50.00,10,280
Future Supply Chain Solutions Limited,Equity,FSC,06 Dec 2017 to 08 Dec 2017,"68,49,200",660.00-664.00,10,22
Shalby Limited,Equity,SHALBY,05 Dec 2017 to 07 Dec 2017,"1,45,21,686",245.00-248.00,10,60
Ambition Mica Limited,Equity,AMBITION,16 Nov 2017 to 21 Nov 2017,"30,00,000",40.00-42.00,10,3000
Hdfc Standard Life Insurance Company Ltd,Equity,HDFCLIFE,07 Nov 2017 to 09 Nov 2017,"21,97,59,218",275.00-290.00,10,50
Khadim India Limited,Equity,KHADIM,02 Nov 2017 to 06 Nov 2017,"72,45,233",745.00-750.00,10,20
The New India Assurance Company Ltd,Equity,NIACL,01 Nov 2017 to 03 Nov 2017,"12,00,00,000",770.00-800.00,5,18
