Security Type,Symbol,Issue Period,Face Value,Market Lot,BSE Code,ISIN
Equity,RELSTRUCT,22 Mar 2017 to 24 Mar 2017,10,3000,#N/A,#N/A
Equity,PRIMECUST,20 Mar 2017 to 23 Mar 2017,10,2000,#N/A,#N/A
Equity,MANAS,17 Mar 2017 to 22 Mar 2017,10,300,540402,INE800W01019
Equity,MAXIMUS,17 Mar 2017 to 22 Mar 2017,10,6000,540401,INE544W01021
Equity,OCEANIC,20 Mar 2017 to 22 Mar 2017,10,2000,#N/A,#N/A
Equity,CHEMCRUX ,15 Mar 2017 to 20 Mar 2017,10,8000,#N/A,#N/A
Equity,JDL,15 Mar 2017 to 17 Mar 2017,10,3000,780001,INE190P01019
Equity,SMLT,10 Mar 2017 to 17 Mar 2017,10,4000,540393,INE017W01010
Equity,IFL,07 Mar 2017 to 10 Mar 2017,10,6000,540377,INE714U01024
Equity,RMC,28 Feb 2017 to 03 Mar 2017,10,4000,540358,INE655V01019
Equity,TANVI,17 Feb 2017 to 22 Feb 2017,10,2000,540332,INE978V01015
Equity,SKL,18 Jan 2017 to 24 Jan 2017,10,10000,540269,INE459U01018
Equity,VOL,23 Dec 2016 to 28 Dec 2016,10,3000,#N/A,#N/A
Equity,AVL,28 Nov 2016 to 05 Dec 2016,10,8000,540205,INE679V01019
Equity,BINDALEXPO,30 Sep 2016 to 06 Oct 2016,10,8000,540148,INE564V01013
Equity,IGRL,30 Sep 2016 to 06 Oct 2016,10,4000,#N/A,#N/A
Equity,MHEL,30 Sep 2016 to 06 Oct 2016,10,6000,#N/A,#N/A
